J05AF060510	Abacavir--Tableta recubierta-300 mg
L01CD024111	Docetaxel-Vial x 0.5 ml + disolvente-Solución inyectable-20 mg/0.5 ml
L01CD024121	Docetaxel-Vial x 2 ml + disolvente-Solución inyectable-40 mg/ml
C01CA044111	Dopamina-Ampolla x 5 ml-Solución inyectable-40 mg/ml
C01CA044120	Dopamina--Solución inyectable-50 mg/ml
S01EC033211	Dorzolamida-Frasco x 5 ml-Solución oftálmica-2 %
C02CA040110	Doxazocina--Tableta-2 mg
C02CA040120	Doxazocina--Tableta-4 mg
J01AA020110	Doxiciclina--Tableta-100 mg
J01AA020120	Doxiciclina--Tableta-200 mg
L01DB014510	Doxorubicina--Polvo para inyección-10 mg
L01DB014520	Doxorubicina--Polvo para inyección-50 mg
J05AG033010	Efavirenz--Solución oral-30 mg/ml
J05AG030910	Efavirenz--Cápsula-200 mg
J05AG030920	Efavirenz--Cápsula-50 mg
J05AG030510	Efavirenz--Tableta recubierta-600 mg
R03CA024111	Efedrina-Ampolla x 1 ml-Solución inyectable-60 mg/ml
J05AF090910	Emtricitabina--Cápsula -200 mg
J05AF093011	Emtricitabina-Frasco x 170 ml-Solución oral-10 mg/ml
B05BA024311	Emulsiones grasas-Frasco/funda x 500 ml-Emulsión para infusión-10 %
B05BA024321	Emulsiones grasas-Frasco/funda x 250 ml-Emulsión para infusión-20 %
B05BA024322	Emulsiones grasas-Frasco/funda x 500 ml-Emulsión para infusión-20 %
C09AA020110	Enalapril--Tableta-5 mg
C09AA020510	Enalapril--Tableta recubierta-5 mg
C09AA020120	Enalapril--Tableta-10 mg
C09AA020520	Enalapril--Tableta recubierta-10 mg
C09AA020130	Enalapril--Tableta-20 mg
C09AA020530	Enalapril--Tableta recubierta-20 mg
C09AA024111	Enalapril-Ampolla x 2 ml-Solución inyectable-1.25 mg/ml
C09BA020110	Enalapril + Hidroclorotiazida--Tableta-2.5 mg + 500 mg
C09BA020120	Enalapril + Hidroclorotiazida--Tableta-5 mg + 500 mg
B01AB054111	Enoxaparina-Jeringa x 0.2 ml-Solución inyectable-2000 UI (20 mg)
B01AB054121	Enoxaparina-Jeringa x 0.4 ml-Solución inyectable-4000 UI (40 mg)
B01AB054131	Enoxaparina-Jeringa x 0.6 ml-Solución inyectable-6000 UI (60 mg)
B01AB054141	Enoxaparina-Jeringa x 0.8 ml-Solución inyectable-8000 UI (80 mg)
B01AB054150	Enoxaparina--Solución inyectable-10.000 UI (100 mg)
C01CA244111	Epinefrina-Ampolla x 1 ml-Solución inyectable-1 mg/ml
R03AA013411	Epinefrina racémica-Ampolla x 1 ml-Solución para inhalación-1 mgml
L01DB034111	Epirubicina-Frasco x 5 ml-Solución inyectable-2 mg/ml
L01DB034112	Epirubicina-Frasco x 50 ml-Solución inyectable-2 mg/ml
L01DB034510	Epirubicina--Polvo para inyección-10 mg
L01DB034520	Epirubicina--Polvo para inyección-50 mg
L01DB034530	Epirubicina--Polvo para inyección-150 mg
N02CA520110	Ergotamina + cafeína--Tableta-1 mg + 100 mg
J01FA010510	Eritromicina--Tableta recubierta -500 mg
J01FA010110	Eritromicina--Tableta -250 mg
J01FA011211	Eritromicina-Frasco x 60 ml-Polvo para suspensión-200 mg/5 ml
J01FA011221	Eritromicina-Frasco x 60 ml-Polvo para suspensión-250 mg/5 ml
J01FA011230	Eritromicina--Polvo para suspensión-400 mg/5 ml
B03XA014110	Eritropoyetina--Solución inyectable-2000 UI
B03XA014120	Eritropoyetina--Solución inyectable-4000 UI
B03XA014130	Eritropoyetina--Solución inyectable-5000 UI
B03XA014140	Eritropoyetina--Solución inyectable-30.000 UI
C03DA010110	Espironolactona--Tableta-25 mg
C03DA010120	Espironolactona--Tableta-100 mg
C03DA010510	Espironolactona--Tableta recubierta-100 mg
J05AR070110	Estavudina + Lamivudina + Nevirapina--Tableta-30 mg + 150 mg + 200 mg
J05AR070120	Estavudina + Lamivudina + Nevirapina--Tableta-40 mg + 150 mg + 200 mg
G03CA030110	Estradiol--Tableta-1 mg
G03AA054111	Estradiol valerato + noretisterona enantato-Ampolla x 1 ml-Solución inyectable-5 mg + 50 mg/ml
J01GA014510	Estreptomicina--Polvo para inyección-1 g
B01AD014510	Estreptoquinasa--Polvo para inyección -1'500.000 UI
G03CA041610	Estriol--Crema vaginal-1 mg/g
J04AK020110	Etambutol--Tableta-400 mg
J04AM030110	Etambutol + Isoniazida--Tableta-400 mg + 150 mg
L04AB014510	Etanercept--Polvo para inyección-25 mg
L04AB014520	Etanercept--Polvo para inyección-50 mg
L04AB014111	Etanercept-Jeringa precargada x 0.5 ml-Solución inyectable-25 mg/0.5 ml
L04AB014121	Etanercept-Jeringa precargada x 1.0 ml-Solución inyectable-50 mg/0.5 ml
J04AD030110	Etionamida--Tableta-250 mg
J04AD030120	Etionamida--Tableta-500 mg
L01CB010910	Etopósido--Cápsula -50 mg
L01CB014111	Etopósido-Ampolla X 5 ml-Solución inyectable-20 mg/ml
L04AA180110	Everolimus --Tableta-0.50 mg
L04AA180120	Everolimus --Tableta-0.75 mg
L02BG060810	Exemestano--Gragea-25 mg
B02BD044510	Factor IX de la coagulación--Polvo para inyección-600 UI
B02BD044520	Factor IX de la coagulación--Polvo para inyección-1200 UI
B02BD044530	Factor IX de la coagulación--Polvo para inyección-250 UI
B02BD024510	Factor VIII de la coagulación--Polvo para inyección-250 UI
B02BD024520	Factor VIII de la coagulación--Polvo para inyección-500 UI
B02BD024530	Factor VIII de la coagulación--Polvo para inyección-1000 UI
B02BD024540	Factor VIII de la coagulación--Polvo para inyección-1500 UI
N03AB020910	Fenitoína--Cápsula-100 mg
N03AB024111	Fenitoína-Ampolla x 2 ml-Solución inyectable-50 mg/ml
N03AB024112	Fenitoína-Ampolla x 5 ml-Solución inyectable-50 mg/ml
N03AB022611	Fenitoína-Frasco x 120 ml-Suspensión-125 mg/5 ml
N03AA020110	Fenobarbital--Tableta-100 mg
N03AA024110	Fenobarbital-Ampolla x 2 ml-Solución inyectable-60 mg/ml
N03AA023010	Fenobarbital--Solución oral-20 mg/5 ml
G02CA034111	Fenoterol-Ampolla x 10 ml-Solución inyectable-0.05 mg/ml
N01AH014111	Fentanilo-Ampolla x 1 ml-Solución inyectable-0.5 mg/10 ml
N01AH014112	Fentanilo-Ampolla x 10 ml-Solución inyectable-0.5 mg/10 ml
L03AA024110	Filgrastim--Solución inyectable-150 mcg/ml
L03AA024121	Filgrastim-Ampolla/jeringa x 0.5 ml-Solución inyectable-300 mcg/0.5 ml
L03AA024131	Filgrastim-Ampolla/jeringa x 1 ml-Solución inyectable-300 mcg/ml
B02BA014111	Fitomenadiona-Ampollas x 1 ml-Solución inyectable-10 mg/ml
B02BA014120	Fitomenadiona--Solución inyectable-1 mg/ml
J02AC014111	Fluconazol-Frasco x 50 ml-Solución inyectable-2 mg/ml
J02AC014112	Fluconazol-Frasco/funda 100 ml-Solución inyectable-2 mg/ml
J02AC010910	Fluconazol--Cápsula -50 mg
J02AC010110	Fluconazol--Tableta-50 mg
J02AC010120	Fluconazol--Tableta-150 mg
J02AC010920	Fluconazol--Cápsula -150 mg
L01BB054510	Fludarabina--Polvo para inyección-50 mg
V03AB254111	Flumazenil-Ampolla x 5 ml-Solución inyectable-0.1 mg/ml
S01BA073610	Fluorometalona--Suspensión oftálmica-0.1 %
L01BC022111	Fluoruracilo--Gel-5 %
L01BC024110	Fluoruracilo-Frasco x 20 ml-Solución inyectable-25 mg/ml
L01BC024121	Fluoruracilo-Frasco x 10 ml-Solución inyectable-50 mg/ml
N06AB030910	Fluoxetina--Cápsula -20 mg
N06AB030110	Fluoxetina--Tableta-20 mg
N06AB030510	Fluoxetina--Tableta recubierta-20 mg
L02BB010110	Flutamida--Tableta-125 mg
L02BB010120	Flutamida--Tableta-250 mg
V03AF030110	Folinato cálcico--Tableta-15 mg
V03AF034111	Folinato cálcico-Frasco/Ampolla x 5 ml-Solución inyectable-10 mg/ml
V06DB001100	Fórmulas para nutrición enteral--Polvo-
V06DB002600	Fórmulas para nutrición enteral--Suspensión-
C03CA010110	Furosemida--Tableta-40 mg
C03CA014111	Furosemida-Ampollas x 2 ml-Solución inyectable-10 mg/ml
L01BC054510	Gemcitabina--Polvo para inyección-200 mg
L01BC054520	Gemcitabina--Polvo para inyección-1000 mg
C10AB040910	Genfibrozilo--Cápsula-300 mg
C10AB040510	Genfibrozilo--Tableta recubierta-300 mg
C10AB040110	Genfibrozilo--Tableta-600 mg
C10AB040520	Genfibrozilo--Tableta recubierta-600 mg
J01GB034111	Gentamicina-Ampolla x 2 ml-Solución inyectable-20 mg/2 ml
J01GB034121	Gentamicina-Ampolla x 2 ml-Solución inyectable-80 mg/2 ml
J01GB034131	Gentamicina-Ampolla x 2 ml-Solución inyectable-160 mg/2ml
J01GB034141	Gentamicina-Ampolla x 2 ml-Solución inyectable-280 mg/2 ml
A10BB010110	Glibenclamida--Tableta-5 mg
L04AA044111	Globulina antitimocítica-Ampolla x 5 ml-Solución inyectable-50 mg/ml
A04AA020510	Granisetrón--Tableta recubierta-1 mg
A04AA024111	Granisetrón-Ampolla x 3 ml-Solución inyectable-1 mg/ml
D01BA010110	Griseofulvina--Tableta-125 mg 
D01BA010120	Griseofulvina--Tableta-250 mg 
D01BA010130	Griseofulvina--Tableta-500 mg 
N05AD013011	Haloperidol-Frasco x 10 ml-Solución oral-2 mg/ml
N05AD014111	Haloperidol-Ampolla x 1 ml-Solución inyectable-5 mg/ml
N05AD010110	Haloperidol--Tableta-5 mg
N05AD010120	Haloperidol--Tableta-10 mg
N05AD014121	Haloperidol decanoato-Ampolla x 1 ml-Solución inyectable-50 mg/ml
B01AB014111	Heparina no fraccionada-Frasco/ampolla x 5 ml-Solución inyectable-5000 UI/ml
B01AB014112	Heparina no fraccionada-Frasco x 10 ml-Solución inyectable-5000 UI/ml
C02DB020110	Hidralazina--Tableta-50 mg
C02DB024111	Hidralazina-Ampolla x 1 ml-Solución inyectable-20 mg/ml
N05CC012511	Hidrato de cloral-Frasco x 100 ml-Jarabe-100 mg/ml
N05CD082510	Hidrato de cloral--Jarabe-100 mg/ml
D07AA021711	Hidrocortisona-Tubo x 20 g-Crema-1 %
D07AA021712	Hidrocortisona-Tubo x 30 g-Crema-1 %
D07AA022311	Hidrocortisona-Frasco x 20 ml-Loción-0.5 %
H02AB094510	Hidrocortisona, succinato sódico--Polvo para inyección-100 mg
H02AB094520	Hidrocortisona, succinato sódico--Polvo para inyección-500 mg
L01XX050910	Hidroxicarbamida--Cápsula-500 mg
N05BB010510	Hidroxicina--Tableta recubierta-10 mg
N05BB010520	Hidroxicina--Tableta recubierta-25 mg
N05BB010110	Hidroxicina--Tableta-25 mg
B03BA034111	Hidroxicobalamina-Ampolla x 1 ml-Solución inyectable-1 mg/ml
B03BA034112	Hidroxicobalamina-Frasco x 10 ml-Solución inyectable-1 mg/ml
M01AE010110	Ibuprofeno--Tableta-200 mg
M01AE010510	Ibuprofeno--Tableta recubierta-200 mg
M01AE010810	Ibuprofeno--Gragea-200 mg
M01AE010120	Ibuprofeno--Tableta-400 mg
M01AE010520	Ibuprofeno--Tableta recubierta-400 mg
M01AE010130	Ibuprofeno--Tableta-600 mg
M01AE010530	Ibuprofeno--Tableta recubierta-600 mg
M01AE010140	Ibuprofeno--Tableta-800 mg
M01AE010540	Ibuprofeno--Tableta recubierta-800 mg
M01AE012611	Ibuprofeno-Frasco x 60 ml-Suspensión-100 mg/5 ml
M01AE012612	Ibuprofeno-Frasco x 100 ml-Suspensión-100 mg/5 ml
M01AE012613	Ibuprofeno-Frasco x 120 ml-Suspensión-100 mg/5 ml
M01AE012621	Ibuprofeno-Frasco x 100 ml-Suspensión-200 mg/5 ml
M01AE012622	Ibuprofeno-Frasco x 120 ml-Suspensión-200 mg/5 ml
L01DB064111	Idarubicina-Frasco x 5 ml-Solución inyectable-1 mg/ml
L01DB064112	Idarubicina-Frasco x 10 ml-Solución inyectable-1 mg/ml
L01AA064510	Ifosfamida--Polvo para inyección-1 g
L01XE010910	Imatinib--Cápsula-100 mg
L01XE010120	Imatinib--Tableta -400 mg
L01XE010510	Imatinib--Tableta recubierta-400 mg
J01DH514510	Imipenem + cilastatina--Polvo para inyección-500 mg + 500 mg
L04AB024510	Infliximab--Polvo para inyección-100 mg
J06BB014510	Inmunoglobulina anti D--Polvo para inyección-250 mcg
J06BB014110	Inmunoglobulina anti D--Solución inyectable-200 mcg
J06BB014120	Inmunoglobulina anti D--Solución inyectable-250 mcg
J06BB014130	Inmunoglobulina anti D--Solución inyectable-300 mcg
J06BB054111	Inmunoglobulina antirrábica-Frasco x 2 ml-Solución inyectable-150 UI/ml
J06BB024111	Inmunoglobulina antitetánica-Jeringa prellenada x 2 ml-Solución inyectable-500 UI
J06BB024120	Inmunoglobulina antitetánica--Solución inyectable-2000 UI
J06BA024110	Inmunoglobulina humana normal--Solución inyectable-0.10 g/ml
J06BA024120	Inmunoglobulina humana normal--Solución inyectable-0.45 g/ml
J06BA024510	Inmunoglobulina humana normal--Polvo para inyección-45 g/100 g (0.45g/g)
A10AC014111	Insulina de acción intermedia-Frasco x 10 ml-Solución inyectable-100 UI/ml
A10AC014411	Insulina de acción intermedia-Frasco x 10 ml-Suspensión inyectable-100 UI/ml
A10AB014111	Insulina de acción rápida-Frasco x 10 ml-Solución inyectable-100 UI/ml
A10AB014112	Insulina de acción rápida-Cartucho x 3 ml-Solución inyectable-100 UI/ml
A10AB014411	Insulina de acción rápida-Frasco x 10 ml-Suspensión inyectable-100 UI/ml
A10AE044111	Insulina glargina -Cartucho x 3 ml-Solución inyectable-100 UI/ml
A10AE044112	Insulina glargina -Frasco x 10 ml-Solución inyectable-100 UI/ml
A10AE044411	Insulina glargina -Frasco x 10 ml-Suspensión inyectable-100 UI/ml
A10AB044111	Insulina lispro-Cartucho x 3 ml-Solución inyectable-100 UI/ml
A10AB044112	Insulina lispro-Frasco x 10 ml-Solución inyectable-100 UI/ml
L03AB054110	Interferón  Alfa-2b--Solución inyectable-3'000.000 UI
L03AB054121	Interferón  Alfa-2b-Pluma multidosis x 1.2 ml-Solución inyectable-15'000.000 UI
L03AB054131	Interferón  Alfa-2b-Pluma multidosis x 1.2 ml-Solución inyectable-25'000.000 UI
L03AB054140	Interferón  Alfa-2b--Solución inyectable-30'000.000 UI
L03AB054510	Interferón  Alfa-2b--Polvo para inyección-3'000.000 UI
L03AB054520	Interferón  Alfa-2b--Polvo para inyección-5'000.000 UI
L03AB054530	Interferón  Alfa-2b--Polvo para inyección-10'000.000 UI
L03AB054540	Interferón  Alfa-2b--Polvo para inyección-30'000.000 UI
L03AB074111	Interferón Beta 1a-Jeringa prellenada x 0.5 ml-Solución inyectable-6'000.000 UI
L03AB074121	Interferón Beta 1a-Jeringa prellenada x 0.5 ml-Solución inyectable-12'000.000 UI
L03AB074122	Interferón Beta 1a-Cartucho prollenado x 1.5 ml-Solución inyectable-12'000.000 UI
L03AB074510	Interferón Beta 1a--Polvo para inyección-6'000.000 UI
L03AB084510	Interferón Beta 1b--Polvo para inyección-8'000.000 UI (0.25 mg)
L03AB084520	Interferón Beta 1b--Polvo para inyección-9'600.000 UI (0.30 mg)
R03BB013411	Ipratropio bromuro-Frasco x 20 ml-Solución para inhalación-0.25 mg/ml
R03BB013711	Ipratropio bromuro-Frasco x 10 ml-Aerosol-0.02 mg/dosis
L01XX194111	Irinotecan-Frasco/ampolla x 5 ml-Solución inyectable-20 mg/ml
J04AC010110	Isoniazida--Tableta-100 mg
J04AC010120	Isoniazida--Tableta-300 mg
C01DA140110	Isosorbida mononitrato--Tableta-20 mg
C01DA140120	Isosorbida mononitrato--Tableta-40 mg
J02AC020910	Itraconazol--Cápsula-100 mg
J02AC023011	Itraconazol-Frasco x 150 ml-Solución oral-10 mg/ml
M01AB154111	Ketorolaco-Ampolla x 1 ml-Solución inyectable-30 mg/ml
M01AB154112	Ketorolaco-Ampolla x 2 ml-Solución inyectable-30 mg/ml
A06AD113011	Lactulosa-Frasco x 200 ml-Solución oral-65 %
A06AD113012	Lactulosa-Frasco x 220 ml-Solución oral-65 %
A06AD113013	Lactulosa-Frasco x 240 ml-Solución oral-65 %
S01XA202211	Lágrimas artificiales y otros preparados inertes-Tubo x 10 g-Gel oftálmico-2 %
S01XA202221	Lágrimas artificiales y otros preparados inertes-Tubo x 10 g-Gel oftálmico-0.3 %
S01XA202231	Lágrimas artificiales y otros preparados inertes-Tubo x 10 g-Gel oftálmico-3 mg/ml
S01XA202241	Lágrimas artificiales y otros preparados inertes-Tubo x 5 g-Gel oftálmico-1.5 mg/ml
S01XA203211	Lágrimas artificiales y otros preparados inertes-Frasco x 15 ml-Solución oftálmica-4 mg/ml
S01XA203221	Lágrimas artificiales y otros preparados inertes-Frasco x 10 ml-Solución oftálmica-50 mg/ml
S01XA203231	Lágrimas artificiales y otros preparados inertes-Frasco x 15 ml-Solución oftálmica-3 mg/ml
S01XA203240	Lágrimas artificiales y otros preparados inertes--Solución oftálmica-0.5 % (5 mg/ml)
S01XA203250	Lágrimas artificiales y otros preparados inertes--Solución oftálmica-2 mg/0.5 ml
S01XA203261	Lágrimas artificiales y otros preparados inertes-Frasco x 15 ml-Solución oftálmica-14 mg/ml
S01XA203270	Lágrimas artificiales y otros preparados inertes--Solución oftálmica-1 mg + 3 mg/ml
J05AF050510	Lamivudina--Tableta recubierta-150 mg
J05AF053010	Lamivudina--Solución oral-50 mg/5 ml
J05AR020510	Lamivudina + Abacavir--Tableta recubierta-300 mg + 600 mg
N03AX090110	Lamotrigina--Tableta-25 mg
N03AX090310	Lamotrigina--Tableta dispersable-25 mg
N03AX090120	Lamotrigina--Tableta-50 mg
N03AX090320	Lamotrigina--Tableta dispersable-50 mg
N03AX090130	Lamotrigina--Tableta-100 mg
N03AX090330	Lamotrigina--Tableta dispersable-100 mg
S01EE013210	Latanoprost--Solución oftálmica-0.005 %
L02BG040510	Letrozol--Tableta recubierta -2.5 mg
L02AE024510	Leuprolide--Polvo para inyección -3.75 mg 
L02AE024520	Leuprolide--Polvo para inyección -7.5 mg 
L02AE024530	Leuprolide--Polvo para inyección -11.25 mg 
L02AE024110	Leuprolide--Solución inyectable-5 mg/ml 
N04BA020110	Levodopa + carbidopa--Tableta-100 mg + 10 mg
N04BA020120	Levodopa + carbidopa--Tableta-250 mg + 25 mg
J01MA120510	Levofloxacino--Tableta recubierta-500 mg
J01MA120520	Levofloxacino--Tableta recubierta-750 mg
J01MA124110	Levofloxacino--Solución inyectable-500 mg/100 ml
N05AA023010	Levomepromazina--Solución oral-40 mg/ml
N05AA024110	Levomepromazina--Solución inyectable-25 mg/ml
N05AA020110	Levomepromazina--Tableta -25 mg
N05AA020510	Levomepromazina--Tableta recubierta -100 mg
G03AC030810	Levonorgestrel--Gragea-30 mcg
G03AC030520	Levonorgestrel--Tableta recubierta-30 mcg
G03AC030110	Levonorgestrel--Tableta -0.75 mg
G03AC030510	Levonorgestrel--Tableta recubierta -0.75 mg
G03AC030120	Levonorgestrel--Tableta -1.5 mg
G03AA070510	Levonorgestrel + etinilestradiol--Tableta recubierta-150 mcg + 30 mcg
G03AA070810	Levonorgestrel + etinilestradiol--Gragea-150 mcg + 30 mcg
H03AA010110	Levotiroxina sódica--Tableta-0.05 mg
H03AA010120	Levotiroxina sódica--Tableta-0.075 mg
H03AA010130	Levotiroxina sódica--Tableta-0.100 mg
H03AA010140	Levotiroxina sódica--Tableta-0.125 mg
H03AA010150	Levotiroxina sódica--Tableta-0.150 mg
H03AA010160	Levotiroxina sódica--Tableta-0.175 mg
H03AA010170	Levotiroxina sódica--Tableta-0.2 mg
H03AA010180	Levotiroxina sódica--Tableta-0.088 mg
H03AA010190	Levotiroxina sódica--Tableta-0.112 mg
D04AB013110	Lidocaína--Solución tópica-10 %
D04AB012410	Lidocaína--Jalea-2 %
D04AB012420	Lidocaína--Jalea-5 %
N01BB524111	Lidocaína con epinefrina-Frasco x 20 ml-Solución inyectable-2 % + 1:200.000
N01BB524112	Lidocaína con epinefrina-Frasco x 50 ml-Solución inyectable-2 % + 1:200.000
N01BB524113	Lidocaína con epinefrina-Cartucho dental x 1.8 ml-Solución inyectable-2 % + 1:200.000
N01BB024111	Lidocaína sin epinefrina-Frasco x 20 ml-Solución inyectable-2 %
N01BB024112	Lidocaína sin epinefrina-Frasco x 50 ml-Solución inyectable-2 %
N01BB024113	Lidocaína sin epinefrina-Cartucho dental-Solución inyectable-2 %
J01XX080510	Linezolid--Tableta recubierta-600 mg
J01XX084110	Linezolid--Solución inyectable-2 mg/ml
J01XX084120	Linezolid--Solución inyectable-40 mg/ml
N05AN010110	Litio, carbonato--Tableta-300 mg
A07DA030910	Loperamida--Cápsula -2 mg
J05XX010510	Lopinavir + Ritonavir--Tableta recubierta-200 mg + 50 mg
J05XX013010	Lopinavir + Ritonavir--Solución oral-80 mg + 20 mg/ml
R06AX130110	Loratadina--Tableta-10 mg
R06AX130510	Loratadina--Tableta recubierta-10 mg
R06AX132510	Loratadina--Jarabe-5 mg/5 ml
N05BA060110	Lorazepam--Tableta-1 mg
N05BA060120	Lorazepam--Tableta-2 mg
C09CA010110	Losartán--Tableta -50 mg
C09CA010120	Losartán--Tableta -100 mg
C09CA010510	Losartán--Tableta recubierta-50 mg
C09CA010520	Losartán--Tableta recubierta-100 mg
A02AF012100	Magaldrato con simeticona--Gel-
A02AF012600	Magaldrato con simeticona--Suspensión-
B05XA054110	Magnesio sulfato--Solución inyectable-20 %
B05XA054120	Magnesio sulfato--Solución inyectable-25 %
B05BC014110	Manitol--Solución inyectable-15 %
B05BC014120	Manitol--Solución inyectable-20 %
P01CB014110	Meglumina antimoniato--Solución inyectable-300 mg/ml
L01AA030110	Melfalán--Tableta-2 mg
N01BB034110	Mepivacaína--Solución inyectable-3 %
L01BB020110	Mercaptopurina--Tableta-50 mg
J01DH024510	Meropenem--Polvo para inyección-500 mg
J01DH024520	Meropenem--Polvo para inyección-1000 mg
V03AF014110	Mesna--Solución inyectable-100 mg/ml
A10BA020510	Metformina--Tableta recubierta-500 mg
A10BA020610	Metformina--Tableta liberación prolongada-500 mg
A10BA020110	Metformina--Tableta-850 mg
A10BA020520	Metformina--Tableta recubierta-850 mg
A10BA020120	Metformina--Tableta -1000 mg
A10BA020530	Metformina--Tableta recubierta-1000 mg
A10BD020110	Metformina + glibenclamida --Tableta-250 + 1.25 mg
A10BD020510	Metformina + glibenclamida --Tableta recubierta-250 + 1.25 mg
A10BD020120	Metformina + glibenclamida  --Tableta-500 + 2.5 mg
A10BD020520	Metformina + glibenclamida  --Tableta recubierta-500 + 2.5 mg
A10BD020130	Metformina + glibenclamida  --Tableta-500 + 5 mg
A10BD020530	Metformina + glibenclamida  --Tableta recubierta-500 + 5 mg
C02A B010110	Metildopa --Tableta-500 mg
C02A B010110	Metildopa --Tableta-250 mg
G02AB010810	Metilergometrina--Gragea -0.125 mg
G02AB014110	Metilergometrina--Solución inyectable-0.2 mg/ml
H02AB044410	Metilprednisolona, acetato--Suspensión inyectable-40 mg/ml
H02AB044420	Metilprednisolona, acetato--Suspensión inyectable-80 mg/ml
H02AB044510	Metilprednisolona, succinato--Polvo para inyección-125 mg
H02AB044520	Metilprednisolona, succinato--Polvo para inyección-500 mg
A03FA010110	Metoclopramida-0.194-Tableta-10 mg
A03FA014110	Metoclopramida--Solución inyectable-5 mg/ml
L01BA010110	Metotrexato--Tableta-2.5 mg
L01BA014110	Metotrexato--Solución inyectable-50 mg/2 ml
L01BA014510	Metotrexato--Polvo para inyección-500 mg
G01AF010710	Metronidazol--Tableta vaginal -500 mg
G01AF011510	Metronidazol--Óvulo-500 mg
G01AF010720	Metronidazol--Tableta vaginal -1 g
G01AF011520	Metronidazol--Óvulo-1 g
J01XD014110	Metronidazol--Solución inyectable-500 mg/100 ml
P01AB010110	Metronidazol--Tableta-250 mg
P01AB010910	Metronidazol--Cápsula-250 mg
P01AB010120	Metronidazol--Tableta-500 mg
P01AB010510	Metronidazol--Tableta recubierta-500 mg
P01AB010920	Metronidazol--Cápsula-500 mg
P01AB012610	Metronidazol--Suspensión-125 mg/5 ml
P01AB012620	Metronidazol--Suspensión-250 mg/5 ml
L04AA060530	Micofenolato--Tableta recubierta-180 mg
L04AA060510	Micofenolato--Tableta recubierta-250 mg
L04AA060910	Micofenolato--Cápsula-250 mg
L04AA060540	Micofenolato--Tableta recubierta-360 mg
L04AA060520	Micofenolato--Tableta recubierta-500 mg
N05CD080510	Midazolam--Tableta recubierta-7.5 mg
N05CD084110	Midazolam--Solución inyectable-5 mg/ml
N05CD084120	Midazolam--Solución inyectable-1 mg/ml
P01CX000910	Miltefosina--Cápsula-10 mg
P01CX000920	Miltefosina--Cápsula-50 mg
C02DC010110	Minoxidil--Tableta-10 mg
N06AX110310	Mirtazapina--Tableta dispersable-15 mg
N06AX110320	Mirtazapina--Tableta dispersable-30 mg
N06AX110510	Mirtazapina--Tableta recubierta-15 mg
N06AX110520	Mirtazapina--Tableta recubierta-30 mg
G02AD060110	Misoprostol--Tableta-200 mcg
L01DC034510	Mitomicina--Polvo para inyección-20 mg
L01DB074110	Mitoxantrona--Solución inyectable-2 mg/ml
R01AD093510	Mometasona--Suspensión para inhalación-50 mcg/dosis
R01AD091110	Mometasona--Polvo-200 mcg
R01AD091120	Mometasona--Polvo-400 mcg
N02AA014110	Morfina--Solución inyectable-10 mg/ml
N02AA011010	Morfina--Cápsula liberación prolongada-10 mg
N02AA011020	Morfina--Cápsula liberación prolongada-30 mg
N02AA011030	Morfina--Cápsula liberación prolongada-60 mg
N02AA013010	Morfina--Solución oral-20 mg/ml
N02AA013020	Morfina--Solución oral-2 mg/ml
S01AX223210	Moxifloxacina--Solución oftálmica-0.5 %
J01MA140110	Moxifloxacina--Tableta-400 mg
J01MA140510	Moxifloxacina--Tableta recubierta-400 mg
J01MA144210	Moxifloxacina--Solución para infusión-400 mg/250 ml
A11AA033000	Multivitaminas con minerales--Solución oral-
A11AA032500	Multivitaminas con minerales--Jarabe-
A11AA030500	Multivitaminas con minerales--Tableta recubierta-
V03AB154110	Naloxona--Solución inyectable-0.4 mg/ml
M01AE020510	Naproxeno--Tableta recubierta-100 mg
M01AE020520	Naproxeno--Tableta recubierta-275 mg
M01AE020530	Naproxeno--Tableta recubierta-500 mg
M01AE020540	Naproxeno--Tableta recubierta-550 mg
M01AE020110	Naproxeno--Tableta-500 mg
M01AE020120	Naproxeno--Tableta -550 mg
N07AA014110	Neostigmina--Solución inyectable-0.5 mg/ml
J05AG010110	Nevirapina--Tableta-200 mg
J05AG010510	Nevirapina--Tableta recubierta-200 mg
J05AG012610	Nevirapina--Suspensión-50 mg/5 ml
G02CX020110	Nifedipina--Tableta-10 mg
G02CX020910	Nifedipina--Cápsula-10 mg
C08CA060110	Nimodipina--Tableta-30 mg
C08CA060510	Nimodipina--Tableta recubierta-30 mg
A07AA022610	Nistatina--Suspensión-100.000 UI/ml
J01XE010910	Nitrofurantoína--Cápsula-100 mg
J01XE011010	Nitrofurantoína--Cápsula liberación prolongada-100 mg
C01DA004110	Nitroglicerina--Solución inyectable-5 mg/ml
C02DD014510	Nitroprusiato sódico--Polvo para inyección-50 mg
C01CA034110	Norepinefrina--Solución inyectable-1 mg/ml
H01CB024510	Octreotida--Polvo para inyección-20 mg
H01CB024520	Octreotida--Polvo para inyección-30 mg
H01CB024110	Octreotida--Solución inyectable-0.05 mg/ml  
H01CB024120	Octreotida--Solución inyectable-0.1 mg/ml  
N05AH030510	Olanzapina --Tableta recubierta-5 mg
N05AH030520	Olanzapina --Tableta recubierta-10 mg
N05AH034810	Olanzapina --Tableta disolución bucal-5 mg
N05AH034820	Olanzapina --Tableta disolución bucal-10 mg
